pleiades,item,itemLabel,chronique_ids,dare_ids,geonames_ids,gettytgn_ids,idaigaz_ids,loc_ids,manto_ids,nomisma_ids,topostext_ids,trismegistos_ids,viaf_ids,vici_ids,wikipedia_en
266040,http://www.wikidata.org/entity/Q5685282,Sierra Elvira,,,,,,,,,,,,,
216748,http://www.wikidata.org/entity/Q18288969,Capidava,,21790,9534984,,,,,,445281UCap,,248793769,7460,https://en.wikipedia.org/wiki/Capidava
511300,http://www.wikidata.org/entity/Q65046406,Leptoia,,,,,,,,,,,,,https://en.wikipedia.org/wiki/Leptoia
727185,http://www.wikidata.org/entity/Q3894902,Papremi,,42425,,,,,,,307307UPap,6297,,,
167635,http://www.wikidata.org/entity/Q829396,Allonzier-la-Caille,,,3038080,,,,,,,,,,https://en.wikipedia.org/wiki/Allonzier-la-Caille
432830,http://www.wikidata.org/entity/Q21088738,Q21088738,,,,,,,,,417133UFer,,,,
609500,http://www.wikidata.org/entity/Q728353,Pessinus,,21259,,,,,10272601,,393316SPes,,240034346,,https://en.wikipedia.org/wiki/Pessinus
109442,http://www.wikidata.org/entity/Q9770,Voerendaal,,,2745368,,,,,,,,,,https://en.wikipedia.org/wiki/Voerendaal
181763748,http://www.wikidata.org/entity/Q108076744,"Block F3, Dura-Europos",,,,,,,,,,,,,
609503,http://www.wikidata.org/entity/Q85793238,Phyteia,,,,,,,,,,,,,https://en.wikipedia.org/wiki/Phyteia
20609,http://www.wikidata.org/entity/Q20963605,Snartemo,,,,,,,,,,,238142061,,https://en.wikipedia.org/wiki/Snartemo
646455441,http://www.wikidata.org/entity/Q5187495,Crofton Roman Villa,,25071,,,,,,,,,,,https://en.wikipedia.org/wiki/Crofton_Roman_Villa
844973,http://www.wikidata.org/entity/Q85773714,Karza,,,,,,,,,,,,,https://en.wikipedia.org/wiki/Karza
570284,http://www.wikidata.org/entity/Q15137556,Helisson,,,,,,,10126256,,374221WHel,,,,
89207,http://www.wikidata.org/entity/Q15228768,Inveresk Roman Fort,,25318,,,,,,,,,,,https://en.wikipedia.org/wiki/Inveresk_Roman_Fort
991333,http://www.wikidata.org/entity/Q89702616,Narbonensis I,,,,,,,,,,42697,,,https://en.wikipedia.org/wiki/Narbonensis_I
540808,http://www.wikidata.org/entity/Q215516,Mount Helicon,,41401,262733,,,,9878166,,384228LHel,,236446086,,https://en.wikipedia.org/wiki/Mount_Helicon
149451361,http://www.wikidata.org/entity/Q206610,Pyramid of Senusret I,,,,,,sh88001203,,,,,,,https://en.wikipedia.org/wiki/Pyramid_of_Senusret_I
79625,http://www.wikidata.org/entity/Q208009,Liffey,,43887,2962947,,,sh97001592,,,,19576,234767948,,https://en.wikipedia.org/wiki/River_Liffey
265989,http://www.wikidata.org/entity/Q3355895,Oretania,,,,,,,,,,,244319031,,
565088210,http://www.wikidata.org/entity/Q1892195,Arch of Augustus,,42254,,,,sh2016000034,,,,,,,https://en.wikipedia.org/wiki/Arch_of_Augustus_(Fano)
109417,http://www.wikidata.org/entity/Q1138962,Ver-lès-Chartres,,,6616342,,,,,,,,,,https://en.wikipedia.org/wiki/Ver-l%C3%A8s-Chartres
432846,http://www.wikidata.org/entity/Q1453755,Fregellae,,21329,,,,,,,415135UFre,32469,,,https://en.wikipedia.org/wiki/Fregellae
852463484,http://www.wikidata.org/entity/Q122199563,Nuraghe Su Casteddu,,,,,,,,,,,,,
494216807,http://www.wikidata.org/entity/Q959458,Su Romanzesu,,,,,,,,,,,243229355,,https://en.wikipedia.org/wiki/Su_Romanzesu
531127,http://www.wikidata.org/entity/Q7827503,Toryne,,31660,,,,,,,393204UTor,,,,https://en.wikipedia.org/wiki/Toryne
707617,http://www.wikidata.org/entity/Q767089,Salamis,,21562,146099,,,sh85116694,10057213,,352339PSal,,"316412676,316393716,315170415,242123386",2361,"https://en.wikipedia.org/wiki/Salamis,_Cyprus"
393454,http://www.wikidata.org/entity/Q34602,Monselice,,15966,6541005,,,n80001299,,,,46233,312796305,,https://en.wikipedia.org/wiki/Monselice
845049,http://www.wikidata.org/entity/Q102128005,Prusias ad Hypium,,,,,,,,,409311UPro,,,,https://en.wikipedia.org/wiki/Prusias_ad_Hypium
422917,http://www.wikidata.org/entity/Q18590113,Temple of Diana,,22227,,,,,,,417127SDiN,,,,https://en.wikipedia.org/wiki/Temple_of_Diana_(Nemi)
462456,http://www.wikidata.org/entity/Q490403,Portopalo di Capo Passero,,30242,6542237,,,,,,,,234320626,,https://en.wikipedia.org/wiki/Portopalo_di_Capo_Passero
480038469,http://www.wikidata.org/entity/Q651415,Carthago Nova amphitheatre,,24020,,,,,,,,,,4292,
501336,http://www.wikidata.org/entity/Q404513,Aegospotami,,32292,,,,,,,403266UAig,,,,https://en.wikipedia.org/wiki/Aegospotami
570406,http://www.wikidata.org/entity/Q11931074,Laconia,,,,,,,8254029,,370225RLak,,,,
116548159,http://www.wikidata.org/entity/Q3852984,Carmine Roman tomb,,,,,,,,,,,,,
678387,http://www.wikidata.org/entity/Q1132798,Tzippori,,21663,293057,,,,,,327352USep,14226,,,https://en.wikipedia.org/wiki/Sepphoris
573459,http://www.wikidata.org/entity/Q18285967,Phorieia,,,,,,,,,,,,,https://en.wikipedia.org/wiki/Phorieia
609473,http://www.wikidata.org/entity/Q11936720,Midaeium,,,,,,,,,,,,,https://en.wikipedia.org/wiki/Midaeium
573261,http://www.wikidata.org/entity/Q60791941,Hysia,,,,,,,,,,,,,https://en.wikipedia.org/wiki/Hysia_(Arcadia)
133577441,http://www.wikidata.org/entity/Q2935231,Camp celtique de la Bure,,20143,,,,,,,,,,,
280341406,http://www.wikidata.org/entity/Q1447360,Phylakopi,,,,7011264,2299269,,,,368245UPhy,,,,https://en.wikipedia.org/wiki/Phylakopi
