pleiades	item	itemLabel	itemDescription	coordinates	chronique_ids	dare_ids	geonames_ids	gettytgn_ids	idaigaz_ids	loc_ids	manto_ids	nomisma_ids	topostext_ids	trismegistos_ids	viaf_ids	vici_ids	wikipedia_en
1000	http://www.wikidata.org/entity/Q153553	Germania Superior	Roman province (83 - 475)	Point(7.69 49.15)			8378507		2123700			upper_germany		16528			https://en.wikipedia.org/wiki/Germania_Superior
1001132	http://www.wikidata.org/entity/Q21556445	Thrakike		Point(22.5 42.5)													
1001134	http://www.wikidata.org/entity/Q21467327	Asiane	Byzantine administrative region in Asia Minor	Point(27.5 37.5)													
1001135	http://www.wikidata.org/entity/Q3329856	Diocese of Pontus	diocese of the Roman Empire	Point(32.5 42.5)													https://en.wikipedia.org/wiki/Diocese_of_Pontus
1001136	http://www.wikidata.org/entity/Q21556448	Anatolike		Point(32.5 32.5)													
1001137	http://www.wikidata.org/entity/Q21556449	Aigyptiake		Point(22.5 32.5)													
1001889	http://www.wikidata.org/entity/Q1491574	Thrace	Byzantine district (theme)	Point(27.5 42.5)									410265RThr				https://en.wikipedia.org/wiki/Thrace_(theme)
1001890	http://www.wikidata.org/entity/Q21556450	Haimimontos		Point(27.5 42.5)													
1001897	http://www.wikidata.org/entity/Q34374	Crete	island of Greece	Point(24.893333333 35.309722222)			258763	7012056	2179802	n79150324		crete			151226384,237254468		https://en.wikipedia.org/wiki/Crete
1001898	http://www.wikidata.org/entity/Q3179417	Epirus vetus	Roman province	Point(20.8083 39.604)													
1001899	http://www.wikidata.org/entity/Q21556451	Nea Epeiros		Point(22.5 42.5)													
1001900	http://www.wikidata.org/entity/Q21556452	Dakia Mesogeios		Point(22.5 42.5)													
1001901	http://www.wikidata.org/entity/Q1156891	Dacia Ripensis	province of the Roman Empire in the Balkans in Late Antiquity	Point(22.5 42.5)													https://en.wikipedia.org/wiki/Dacia_Ripensis
1001903	http://www.wikidata.org/entity/Q21556453	Praibalis		Point(17.5 42.5)													
1001905	http://www.wikidata.org/entity/Q170062	Pannonia	province of the Roman Empire (20 - 107 AD)	Point(19.02 44.9)			8181615		2121923	n81089942		pannonia			133472541		https://en.wikipedia.org/wiki/Pannonia
1001908	http://www.wikidata.org/entity/Q21556455	Phrygia Pakatiane	Late Roman administrative entity in western Turkey	Point(27.5 37.5)													
1001911	http://www.wikidata.org/entity/Q622598	Lycaonia	historical region of Asia Minor	Point(33.0 38.0)				1003785					375324RLyk				https://en.wikipedia.org/wiki/Lycaonia
1001912	http://www.wikidata.org/entity/Q21556456	Phrygia Saloutaria		Point(32.5 37.5)													
1001913	http://www.wikidata.org/entity/Q585250	Pamphylia	historical region of Asia Minor	Point(31.0 37.0)						sh87007963	10270184	pamphylia	370320RPam		51154381008930291528,173037848		https://en.wikipedia.org/wiki/Pamphylia
1001915	http://www.wikidata.org/entity/Q21556457	Nesoi	Roman administrative region in western Turkey	Point(27.5 37.5)													
1001918	http://www.wikidata.org/entity/Q5897031	Honorias	Roman province from c. 380 to 600s	Point(32.5 42.5)													https://en.wikipedia.org/wiki/Honorias
1001920	http://www.wikidata.org/entity/Q26847	Galatia	area in the highlands of central Asia Minor	Point(32.983333 39.266667)													https://en.wikipedia.org/wiki/Galatia
1001934	http://www.wikidata.org/entity/Q3060427	Euphratensis	Roman/Byzantine province (c. 341–7th Century)	Point(37.5 37.5)													https://en.wikipedia.org/wiki/Euphratensis
1001938	http://www.wikidata.org/entity/Q11921789	Phoenice II	byzantine province (c.  394 – 635)	Point(36.714461944 34.723185)													https://en.wikipedia.org/wiki/Phoenice_Libanensis
1001944	http://www.wikidata.org/entity/Q2870967	Augustamnica	Roman province in Egypt														https://en.wikipedia.org/wiki/Augustamnica
100196697	http://www.wikidata.org/entity/Q131914553	Q131914553		Point(12.414725513 41.814315363)		45808											
100249112	http://www.wikidata.org/entity/Q3983204	Temple of Fortuna Augusta	Temple of Augustan Fortune at Pompeii	Point(14.484351 40.750682)											260128307		
1004	http://www.wikidata.org/entity/Q13924	Adriatic Sea	body of water between the Italian Peninsula and the Balkan Peninsula	Point(15.426111 42.775833)			3183462	7016532		sh85001020	11309854		421170WAdr	42519	316741867		https://en.wikipedia.org/wiki/Adriatic_Sea
100447491	http://www.wikidata.org/entity/Q1902995	Pons Neronianus	Roman bridge in Italy	Point(12.4641 41.901)		39605										11553	https://en.wikipedia.org/wiki/Pons_Neronianus
100593149	http://www.wikidata.org/entity/Q1301011	Ehulhul		Point(39.22111111 36.86222222)													
100638613	http://www.wikidata.org/entity/Q3321024	Athens	The mint at the ancient site of Athens in Attica	Point(23.72388889 37.97388889)								athens	380237BMin				
100638613	http://www.wikidata.org/entity/Q3321024	Athens	The mint at the ancient site of Athens in Attica	Point(23.7225 37.974722)								athens	380237BMin				
100913712	http://www.wikidata.org/entity/Q109428923	Roman Gymnasium of Ancient Corinth	archaeological site at ancient Corinth	Point(22.8768011 37.9103993)									379229BGym				
101183	http://www.wikidata.org/entity/Q106599	Cimbri	Germanic tribe											43602			https://en.wikipedia.org/wiki/Cimbri
101197188	http://www.wikidata.org/entity/Q107353376	Schola Quaestorum et Caplatorum	an historical place in ancient Rome mentioned only the Regionary Catalogue for Regio III, likely located between the lacus Pastorum and the Baths of Titus														
101199	http://www.wikidata.org/entity/Q241194	Irminones	historical ethnic group	Point(7.5 47.5)													https://en.wikipedia.org/wiki/Irminones
101202	http://www.wikidata.org/entity/Q1097118	Ingaevones	West Germanic people of classical antiquity	Point(7.5 47.5)													https://en.wikipedia.org/wiki/Ingaevones
101203	http://www.wikidata.org/entity/Q371290	Istvaeones	historical ethnic group	Point(7.5 47.5)													https://en.wikipedia.org/wiki/Istvaeones
101205	http://www.wikidata.org/entity/Q2192964	Cobandi	Germanic tribe who lived in Jutland														https://en.wikipedia.org/wiki/Cobandi
101210	http://www.wikidata.org/entity/Q1125161	Nuithones															https://en.wikipedia.org/wiki/Nuithones
101212	http://www.wikidata.org/entity/Q7928147	Vidrus	rivier in the Germany														https://en.wikipedia.org/wiki/Vidrus
101215	http://www.wikidata.org/entity/Q509437	Silingi	historical ethnical group	Point(7.5 47.5)													https://en.wikipedia.org/wiki/Silingi
101249988	http://www.wikidata.org/entity/Q123433	Ostia Synagogue	synagogue	Point(12.28861111 41.74888889)													https://en.wikipedia.org/wiki/Ostia_Synagogue
101729909	http://www.wikidata.org/entity/Q600690	Roman Theatre of Catania	ancient theater in Catania	Point(15.083611 37.502778)		23937											https://en.wikipedia.org/wiki/Roman_Theatre_of_Catania
10236664	http://www.wikidata.org/entity/Q1427189	Mureybet	archaeological site under Lake Assad in ar-Raqqah, Syria	Point(38.128738 36.043408)											242334967	22482	https://en.wikipedia.org/wiki/Mureybet
102438478	http://www.wikidata.org/entity/Q118558965	Alba Fucens Aqueduct		Point(13.424583333 42.092277777)													
102500044	http://www.wikidata.org/entity/Q5902259	Q5902259		Point(-6.199782 36.53006)		43130										13756	
102500044	http://www.wikidata.org/entity/Q5902259	Q5902259		Point(-6.19972222 36.53)		43130										13756	
102500045	http://www.wikidata.org/entity/Q16496954	Barragem Romana da Fonte Coberta		Point(-8.69041111 37.11035833)													https://en.wikipedia.org/wiki/Roman_Dam_of_Fonte_Coberta
102500046	http://www.wikidata.org/entity/Q1945867	Monte Novo do Castelinho	archaeological site in Almodôvar e Graça dos Padrões, Portugal	Point(-8.14369444 37.54062222)		40589											
102529957	http://www.wikidata.org/entity/Q28978106	Venusia amphitheatre	Roman amphitheatre in Venosa, Italy	Point(15.8243636 40.9679567)		24641										4274	
102813531	http://www.wikidata.org/entity/Q124657274	Kraneion Basilica	Early Christian basilica near Corinth	Point(22.8949435 37.9045457)												44668	
102929719	http://www.wikidata.org/entity/Q7679481	Talianki	Archaeological site in Ukraine	Point(30.535 48.805)													https://en.wikipedia.org/wiki/Talianki_(archaeological_site)
102937425	http://www.wikidata.org/entity/Q996179	Susegana Bridge	bridge in Veneto, Italy	Point(12.18555556 45.85777778)													https://en.wikipedia.org/wiki/Susegana_Bridge
103030031	http://www.wikidata.org/entity/Q112181347	Mithraeum of Lucretius Menander	a shrine sacred to Mithras located at Ostia	Point(12.288613727 41.755262722)													
103123065	http://www.wikidata.org/entity/Q2552044	Sant'Omobono Area	an archaeological site in Rome next to the church of Sant'Omobono, at the junction of via L. Petroselli and il Vico Jugario at the foot of the Campidoglio	Point(12.48126 41.89062)			8015152						419125SMMa			17947	https://en.wikipedia.org/wiki/Sant%27Omobono_Area
1033	http://www.wikidata.org/entity/Q199408	Alboran Sea	westernmost portion of the Mediterranean Sea	Point(-3.0 36.0)			6640412										https://en.wikipedia.org/wiki/Alboran_Sea
103500678	http://www.wikidata.org/entity/Q7438847	Scratchbury Camp	hillfort in Wiltshire, England, UK	Point(-2.12617147 51.19732139)													https://en.wikipedia.org/wiki/Scratchbury_Camp
103500678	http://www.wikidata.org/entity/Q7438847	Scratchbury Camp	hillfort in Wiltshire, England, UK	Point(-2.12756 51.1975)													https://en.wikipedia.org/wiki/Scratchbury_Camp
103565779	http://www.wikidata.org/entity/Q12243758	Temple of Zeus	extramural temple in Cyrene	Point(21.862467 32.822325)						sh2010011469						11538	https://en.wikipedia.org/wiki/Temple_of_Zeus,_Cyrene
103808101	http://www.wikidata.org/entity/Q281330	Servian Wall	defensive barrier around the ancient city of Rome	Point(12.501666666 41.901666666)									419125FWSe				https://en.wikipedia.org/wiki/Servian_Wall
104240046	http://www.wikidata.org/entity/Q56258482	Forre di Corchiano		Point(12.36057 42.34455)													
1043	http://www.wikidata.org/entity/Q4918	Mediterranean Sea	sea between Europe, Africa and Asia	Point(17.0 38.0)			363196	7016735		sh85083236					239897976		https://en.wikipedia.org/wiki/Mediterranean_Sea
104480434	http://www.wikidata.org/entity/Q20548691	Castro de Santaia		Point(-8.04169 43.11552)													
104590908	http://www.wikidata.org/entity/Q7361310	Rollright Stones	Neolithic stone complex in Oxfordshire, England, UK	Point(-1.570833333 51.975555555)			2639202								242158621		https://en.wikipedia.org/wiki/Rollright_Stones
1046	http://www.wikidata.org/entity/Q37495	Ionian Sea	an elongated bay of the Mediterranean Sea, south of the Adriatic Sea, bounded by Southern Italy (Calabria, Sicily, Salento peninsula) to the west, southern Albania to the north, and the west coast of Greece to the east	Point(19.0 38.0)			2463713	1112277		sh91005570	8253941		408187WIon	33370	238399187		https://en.wikipedia.org/wiki/Ionian_Sea
104629751	http://www.wikidata.org/entity/Q3606501	Ager Vaticanus	plain in Rome on the right bank of the Tiber	Point(12.4662 41.9054)													https://en.wikipedia.org/wiki/Ager_Vaticanus
104728999	http://www.wikidata.org/entity/Q56633478	Cappuck Roman fort	Roman fort site along Dere Street. visible by crop marks	Point(-2.4837356 55.483705)													
104777481	http://www.wikidata.org/entity/Q245273	Aetolian League	confederation of tribal communities and cities in ancient Greece									aetolian_league					https://en.wikipedia.org/wiki/Aetolian_League
104777482	http://www.wikidata.org/entity/Q244796	Achaean League	Hellenistic-era confederation of Greek city states									achaean_league					https://en.wikipedia.org/wiki/Achaean_League
10481849	http://www.wikidata.org/entity/Q2033557	Kamid al lawz	village in  Western Beqaa District, Beqaa Governorate	Point(35.818611111 33.618333333)			272781								238981820		https://en.wikipedia.org/wiki/Kamid_el-Loz
104925762	http://www.wikidata.org/entity/Q27070567	Casa della Nave Europa		Point(14.48214 40.74822)											95145663025205070015		
1052	http://www.wikidata.org/entity/Q145694	Italian Peninsula	peninsula of southern Europe	Point(14.0 42.0)							9603205						https://en.wikipedia.org/wiki/Italian_peninsula
1052	http://www.wikidata.org/entity/Q913582	Roman Italy	Italy under ancient Roman rule	Point(12.5 42.0)									406163RIta				https://en.wikipedia.org/wiki/Roman_Italy
105470541	http://www.wikidata.org/entity/Q2434486	Cursus Barrows	barrow cemetery in England	Point(-1.83694 51.1828)													https://en.wikipedia.org/wiki/Cursus_Barrows
105717312	http://www.wikidata.org/entity/Q65166700	Piazza Ronchi Roman cistern		Point(12.549604 41.8949059)													
106009165	http://www.wikidata.org/entity/Q3859477	Marino Mithraeum	Mithraeum in Italy	Point(12.6551988 41.769376)		45676										27454	
106515914	http://www.wikidata.org/entity/Q10759110	Eskiharran	village in Harran, Şanlıurfa, Turkey	Point(39.06 36.930833333)			315256										
106515915	http://www.wikidata.org/entity/Q6100895	Eskiyapar Höyük	Archaeological mound in Turkey	Point(34.773056 40.158056)													
106515917	http://www.wikidata.org/entity/Q2866118	Arzen	fortress town in Kurtalan, Siirt Province, Turkey	Point(41.3842642 37.9777203)													https://en.wikipedia.org/wiki/Arzen
107065917	http://www.wikidata.org/entity/Q3110479	Gonfienti	etruscan sie in Prato, Italy	Point(11.1325 43.8556)		25841		4004422							233949264		https://en.wikipedia.org/wiki/Gonfienti
107133089	http://www.wikidata.org/entity/Q107372650	Iuppiter Arborator	a shrine of the god Iuppiter located in Regio XI of ancient Rome														
107397415	http://www.wikidata.org/entity/Q370713	Tumulo di Montecalvario	Etruscan tomb in Castellina in Chianti	Point(11.2838 43.4725)		23743									4855154260828124480001		
107421147	http://www.wikidata.org/entity/Q66134639	Khanpur Cave	archaeological site in Pakistan	Point(72.9093 33.7992)													
107524051	http://www.wikidata.org/entity/Q18385210	Poseidon Temple of Isthmia	ancient Greek temple on the Isthmus of Corinth	Point(22.993 37.91575)		21906					9612969		379230SPoT				https://en.wikipedia.org/wiki/Temple_of_Isthmia
108282408	http://www.wikidata.org/entity/Q1232134	Pyramid of Djedkare-Isesi	smooth-sided pyramid	Point(31.22083 29.85111)													https://en.wikipedia.org/wiki/Pyramid_of_Djedkare_Isesi
108282409	http://www.wikidata.org/entity/Q131820	Pyramid of Sahure	smooth-sided pyramid	Point(31.203333333 29.897777777)			349838										https://en.wikipedia.org/wiki/Pyramid_of_Sahure
108334324	http://www.wikidata.org/entity/Q3995556	Centocelle tower		Point(12.570687 41.871914)													
108722	http://www.wikidata.org/entity/Q103138125	Aardenburg (Samian Ware Discovery Site)	Aardenburg as Samian Ware discovery site	Point(3.45 51.283332)													
108723	http://www.wikidata.org/entity/Q322435	Ablis	commune in Yvelines, France	Point(1.835555555 48.516666666)			3038756	1031683									https://en.wikipedia.org/wiki/Ablis
108724	http://www.wikidata.org/entity/Q17310116	Abnoba mons		Point(8.004685 47.8739607)										41618			https://en.wikipedia.org/wiki/Abnoba_mons
108728	http://www.wikidata.org/entity/Q264401	Aduatuci	gallic-Germanic tribe														https://en.wikipedia.org/wiki/Atuatuci
108729	http://www.wikidata.org/entity/Q86724739	Q86724739		Point(3.282 48.1978)		115							482033UAge				
108732	http://www.wikidata.org/entity/Q450722	Alzette	river of France and Luxembourg	Point(6.1119 49.8482)		43900	2960831								242307309		https://en.wikipedia.org/wiki/Alzette
108732	http://www.wikidata.org/entity/Q450722	Alzette	river of France and Luxembourg	Point(5.9578 49.4797)		43900	2960831								242307309		https://en.wikipedia.org/wiki/Alzette
108735	http://www.wikidata.org/entity/Q103141030	Altrip (Samian Ware Discovery Site)	Altrip as Samian Ware discovery site	Point(8.498955 49.431501)													
108735	http://www.wikidata.org/entity/Q1735325	Castra Alta Ripa	Roman fort	Point(8.50361 49.4325)		57											
108736	http://www.wikidata.org/entity/Q1735330	Castrum Altinum	Roman fort	Point(8.11737 49.743)		952	7911402									8225	https://en.wikipedia.org/wiki/Castra_Alteium
108737	http://www.wikidata.org/entity/Q22876	Altlußheim	town in Germany	Point(8.5 49.299722222)			6555656		2046103	n92021379					123294313		https://en.wikipedia.org/wiki/Altlu%C3%9Fheim
108738	http://www.wikidata.org/entity/Q1985712	Altrier	village in Luxembourg	Point(6.333333333 49.75)			2960834										https://en.wikipedia.org/wiki/Altrier
108739	http://www.wikidata.org/entity/Q103141174	Amay (Samian Ware Discovery Site)	Amay as Samian Ware discovery site	Point(5.316666 50.549999)													
108740	http://www.wikidata.org/entity/Q223581	Ambiani	belgic tribe									ambiani					https://en.wikipedia.org/wiki/Ambiani
108744	http://www.wikidata.org/entity/Q2179584	Anreppen		Point(8.59305556 51.73777778)		18178											
108746	http://www.wikidata.org/entity/Q610107	Castrum Antunnacum	Roman fort	Point(7.3975 50.4401)		72										9653	
108748	http://www.wikidata.org/entity/Q103145372	Baden-Baden (Samian Ware Discovery Site)	Baden-Baden as Samian Ware discovery site	Point(8.239792 48.7598)													
108748	http://www.wikidata.org/entity/Q4100	Baden-Baden	town in Baden-Württemberg, Germany	Point(8.240833333 48.761944444)			2953504	7005172	2045408	n50057123				27834	247457781		https://en.wikipedia.org/wiki/Baden-Baden
108749	http://www.wikidata.org/entity/Q622977	Aquae Granni	designation for Roman archeological site in Germany	Point(6.08162 50.7756)									508061UAqu	3257			
108750	http://www.wikidata.org/entity/Q103200060	Wiesbaden (Samian Ware Discovery Site)	Wiesbaden as Samian Ware discovery site	Point(8.25 50.083328)													
108750	http://www.wikidata.org/entity/Q622981	Castrum Aquae Mattiacorum	castrum	Point(8.23833 50.0838)		1981							501082UAqu				
108751	http://www.wikidata.org/entity/Q103166403	Köln (Samian Ware Discovery Site)	Köln as Samian Ware discovery site	Point(6.95427 50.93835)													
108751	http://www.wikidata.org/entity/Q623600	Ara Ubiorum	Roman federal altar, around which formed Col. Claudia Ara Agrippinensium, precursor of Köln, Germany	Point(6.959907 50.940662)													https://en.wikipedia.org/wiki/Ara_Ubiorum
108751	http://www.wikidata.org/entity/Q23048	Colonia Claudia Ara Agrippinensium	Roman colony, today Cologne in Germany	Point(6.956944444 50.938055555)									509070UCol	3258			https://en.wikipedia.org/wiki/Colonia_Claudia_Ara_Agrippinensium
108751	http://www.wikidata.org/entity/Q365	Cologne	most populous city in North Rhine-Westphalia, Germany	Point(6.957777777 50.942222222)		299	3247451	7004446		n80050882			509070UCol		157037914	104	https://en.wikipedia.org/wiki/Cologne
108752	http://www.wikidata.org/entity/Q262456	Ardres	commune in Pas-de-Calais, France	Point(1.9775 50.854722222)			3037113			n91089839					130322518		https://en.wikipedia.org/wiki/Ardres
108753	http://www.wikidata.org/entity/Q3078760	Ardennes Forest	forest in Belgium, France and Germany	Point(4.83333 49.8)			2803094										
108754	http://www.wikidata.org/entity/Q103196931	Strasbourg (Samian Ware Discovery Site)	Strasbourg as Samian Ware discovery site	Point(7.75 48.583328)													
108754	http://www.wikidata.org/entity/Q2361353	Argentoratum	ancient name of the city of Strasbourg in France	Point(7.751 48.5827)					2076623				486078UArg	3342			https://en.wikipedia.org/wiki/Argentoratum
108755	http://www.wikidata.org/entity/Q103148104	Biesheim (Samian Ware Discovery Site)	Biesheim as Samian Ware discovery site	Point(7.55 48.033332)													
108757	http://www.wikidata.org/entity/Q1009681	Arnières-sur-Iton	commune in Eure, France	Point(1.104166666 48.996111111)			6447934								12144648169234289128		https://en.wikipedia.org/wiki/Arni%C3%A8res-sur-Iton
108758	http://www.wikidata.org/entity/Q706912	Artenay	commune in Loiret, France	Point(1.878333333 48.082222222)			3036694			n99050339					146767089		https://en.wikipedia.org/wiki/Artenay
108759	http://www.wikidata.org/entity/Q269401	Arcis-sur-Aube	commune in Aube, France	Point(4.141944444 48.536388888)		1982	6452119,3037186								244177863		https://en.wikipedia.org/wiki/Arcis-sur-Aube
108760	http://www.wikidata.org/entity/Q1735331	Castra of Arzbach	Roman fort	Point(7.74565 50.3753)		2173	8504421										
108761	http://www.wikidata.org/entity/Q103183792	Moers-Asberg (Samian Ware Discovery Site)	Moers-Asberg as Samian Ware discovery site	Point(6.65 51.45)													
108761	http://www.wikidata.org/entity/Q723019	Castrum Asciburgium	Roman fort	Point(6.67 51.4317)		2073								24558		2539	
108762	http://www.wikidata.org/entity/Q103143675	Asse (Samian Ware Discovery Site)	Asse as Samian Ware discovery site	Point(4.199997 50.910518)													
108765	http://www.wikidata.org/entity/Q103198066	Tongeren (Samian Ware Discovery Site)	Tongeren as Samian Ware discovery site	Point(5.46484 50.78054)													
108765	http://www.wikidata.org/entity/Q190113	Tongeren	former city and municipality in Limburg, Belgium	Point(5.4631 50.7794)			2785390	7008015		n79118019			508055UAtu	24462	136032510		https://en.wikipedia.org/wiki/Tongeren
108767	http://www.wikidata.org/entity/Q21917	Audun-le-Tiche	commune in Moselle, France	Point(5.957777777 49.473333333)			6449899			nr91040187					132962556		https://en.wikipedia.org/wiki/Audun-le-Tiche
108769	http://www.wikidata.org/entity/Q760408	Augers-en-Brie	commune in Seine-et-Marne, France	Point(3.357222222 48.680277777)		5444	6451132								159767788		https://en.wikipedia.org/wiki/Augers-en-Brie
108772	http://www.wikidata.org/entity/Q4820973	Augusta Suessionum	Roman city, precursor of Soissons, France	Point(3.32361111 49.38166667)									494033UAug				https://en.wikipedia.org/wiki/Augusta_Suessionum
108774	http://www.wikidata.org/entity/Q940173	Augusta Viromanduorum	archaeological site	Point(3.146866666 49.877675)		240							498033UAVi				https://en.wikipedia.org/wiki/Augusta_Viromanduorum
108775	http://www.wikidata.org/entity/Q103198346	Troyes (Samian Ware Discovery Site)	Troyes as Samian Ware discovery site	Point(4.083333 48.299999)													
108775	http://www.wikidata.org/entity/Q17122336	Augustobona	Roman-period city, at modern Troyes	Point(4.078056 48.298889)									483041UAug	3343			
108776	http://www.wikidata.org/entity/Q103194995	Senlis (Samian Ware Discovery Site)	Senlis as Samian Ware discovery site	Point(2.58333 49.2)													
108779	http://www.wikidata.org/entity/Q41962	Aisne	river in France, tributary of the Oise	Point(2.846944444 49.434166666)		43894	3038377			sh92003687					148931080		https://en.wikipedia.org/wiki/Aisne_(river)
108782	http://www.wikidata.org/entity/Q473100	Baâlon	commune in Meuse, France	Point(5.240277777 49.488055555)			6449765			nr90017836					123600081		https://en.wikipedia.org/wiki/Ba%C3%A2lon
108783	http://www.wikidata.org/entity/Q565257	Bad Bertrich	municipality in Germany	Point(7.035 50.070555555)			6553739								239864516	10020	https://en.wikipedia.org/wiki/Bad_Bertrich
108784	http://www.wikidata.org/entity/Q22901	Bad Dürkheim	town in Germany	Point(8.17236 49.4618)			6557907	7012953		n83136702					150135020		https://en.wikipedia.org/wiki/Bad_D%C3%BCrkheim
108786	http://www.wikidata.org/entity/Q2179672	Römervilla von Bad Neuenahr-Ahrweiler	museum in Germany	Point(7.085 50.53888889)		17821											
108788	http://www.wikidata.org/entity/Q103145980	Bavay (Samian Ware Discovery Site)	Bavay as Samian Ware discovery site	Point(3.79372 50.29828)													
108788	http://www.wikidata.org/entity/Q103161774	Famars (Samian Ware Discovery Site)	Famars as Samian Ware discovery site	Point(3.51945 50.31743)													
108788	http://www.wikidata.org/entity/Q103164039	Houdain-lez-Bavay (Samian Ware Discovery Site)	Houdain-lez-Bavay as Samian Ware discovery site	Point(3.783333 50.299999)													
108789	http://www.wikidata.org/entity/Q1098808	Bailleul-sur-Thérain	commune in Oise, France	Point(2.221944444 49.385277777)			6450114										https://en.wikipedia.org/wiki/Bailleul-sur-Th%C3%A9rain
