item,itemLabel,itemPID,article
http://www.wikidata.org/entity/Q101003862,Q101003862,697733,
http://www.wikidata.org/entity/Q10463662,Q10463662,413112,
http://www.wikidata.org/entity/Q104787743,Q104787743,523755191,
http://www.wikidata.org/entity/Q105703693,Q105703693,697734,
http://www.wikidata.org/entity/Q105948289,Q105948289,697745,
http://www.wikidata.org/entity/Q106205169,Q106205169,422913,
http://www.wikidata.org/entity/Q106463830,Q106463830,746764,
http://www.wikidata.org/entity/Q106675287,Q106675287,265878,
http://www.wikidata.org/entity/Q106775888,Q106775888,623510547,
http://www.wikidata.org/entity/Q1069483,Q1069483,727099,
http://www.wikidata.org/entity/Q106976919,Q106976919,746796,
http://www.wikidata.org/entity/Q107257274,Q107257274,746761,
http://www.wikidata.org/entity/Q108962869,Q108962869,266085,
http://www.wikidata.org/entity/Q109971927,Q109971927,727077,
http://www.wikidata.org/entity/Q110162981,Q110162981,423067,
http://www.wikidata.org/entity/Q110775489,Q110775489,256058,
http://www.wikidata.org/entity/Q110832905,Q110832905,806179538,
http://www.wikidata.org/entity/Q111193124,Q111193124,384365955,
http://www.wikidata.org/entity/Q112044548,Q112044548,432863,
http://www.wikidata.org/entity/Q112654314,Q112654314,563278254,
http://www.wikidata.org/entity/Q113585519,Q113585519,413285,
http://www.wikidata.org/entity/Q115153137,Q115153137,541104,
http://www.wikidata.org/entity/Q115267824,Q115267824,613215678,
http://www.wikidata.org/entity/Q115356426,Q115356426,380284185,
http://www.wikidata.org/entity/Q115687000,Q115687000,157894,
http://www.wikidata.org/entity/Q116383431,Q116383431,413331,
http://www.wikidata.org/entity/Q116842297,Q116842297,769742546,
http://www.wikidata.org/entity/Q11818764,Q11818764,128490,
http://www.wikidata.org/entity/Q11906698,Q11906698,285504,
http://www.wikidata.org/entity/Q11911976,Q11911976,194044,
http://www.wikidata.org/entity/Q11913201,Q11913201,234760228,
http://www.wikidata.org/entity/Q11918142,Q11918142,207107,
http://www.wikidata.org/entity/Q11925247,Q11925247,29586,
http://www.wikidata.org/entity/Q11926060,Q11926060,207173,
http://www.wikidata.org/entity/Q11934546,Q11934546,857220,
http://www.wikidata.org/entity/Q11936633,Q11936633,452379,
http://www.wikidata.org/entity/Q11938028,Q11938028,197391,
http://www.wikidata.org/entity/Q11939024,Q11939024,413227,
http://www.wikidata.org/entity/Q11941706,Q11941706,216948,
http://www.wikidata.org/entity/Q11942133,Q11942133,630863763,
http://www.wikidata.org/entity/Q11942205,Q11942205,413268,
http://www.wikidata.org/entity/Q12278765,Q12278765,217061,
http://www.wikidata.org/entity/Q1238447,Q1238447,187472,
http://www.wikidata.org/entity/Q1245635,Q1245635,801473432,
