pleiades_uri,wikidata_uri,wikidata_label,wikidata_description,wikidata_coordinates,chronique_id,dare_id,geonames_id,gettytgn_id,idaigaz_id,loc_id,manto_id,nomisma_id,topostext_id,trismegistos_id,viaf_id,vici_id,wikipedia_en
https://pleiades.stoa.org/places/1001908,http://www.wikidata.org/entity/Q21556455,Phrygia Pakatiane,Late Roman administrative entity in western Turkey,,,,,,,,,,,,,,
https://pleiades.stoa.org/places/1001911,http://www.wikidata.org/entity/Q622598,Lycaonia,historical region of Asia Minor,Point(33.0 38.0),,,,1003785,,,,,375324RLyk,,,,https://en.wikipedia.org/wiki/Lycaonia
https://pleiades.stoa.org/places/1001913,http://www.wikidata.org/entity/Q585250,Pamphylia,historical region of Asia Minor,Point(31.0 37.0),,,,7002611,,sh87007963,10270184,pamphylia,370320RPam,,"51154381008930291528,173037848",,https://en.wikipedia.org/wiki/Pamphylia
https://pleiades.stoa.org/places/1001918,http://www.wikidata.org/entity/Q5897031,Honorias,Roman province from c. 380 to 600s,Point(32.5 42.5),,,,,,,,,,,,,https://en.wikipedia.org/wiki/Honorias
https://pleiades.stoa.org/places/1001920,http://www.wikidata.org/entity/Q26847,Galatia,area in the highlands of central Asia Minor,Point(32.983333 39.266667),,,,7016662,,,,,,,,,https://en.wikipedia.org/wiki/Galatia
https://pleiades.stoa.org/places/1001938,http://www.wikidata.org/entity/Q11921789,Phoenice II,byzantine province (c.  394 – 635),Point(36.714461944 34.723185),,,,,,,,,,,,,https://en.wikipedia.org/wiki/Phoenice_Libanensis
https://pleiades.stoa.org/places/100464337,http://www.wikidata.org/entity/Q3861275,Monte Calvario peak sanctuary,"archaeological site in Auronzo di Cadore, Italy",Point(12.448261 46.550892),,,,,,,,,,,,78306,
https://pleiades.stoa.org/places/101192,http://www.wikidata.org/entity/Q2283279,Lake Flevo,former lake in what is now the Netherlands,Point(5.4 52.48),,,,,,,,,,,,,https://en.wikipedia.org/wiki/Lake_Flevo
https://pleiades.stoa.org/places/106515914,http://www.wikidata.org/entity/Q10759110,Eskiharran,"mahalle (administrative quarter) in Harran, Şanlıurfa, southeastern Turkey",Point(39.06 36.930833333),,,315256,,,,,,,,,,
https://pleiades.stoa.org/places/108723,http://www.wikidata.org/entity/Q322435,Ablis,"commune in Yvelines, France",Point(1.835555555 48.516666666),,,3038756,1031683,,,,,,,,,https://en.wikipedia.org/wiki/Ablis
https://pleiades.stoa.org/places/108728,http://www.wikidata.org/entity/Q264401,Aduatuci,gallic-Germanic tribe,,,,,,,,,,,,,,https://en.wikipedia.org/wiki/Atuatuci
https://pleiades.stoa.org/places/108758,http://www.wikidata.org/entity/Q706912,Artenay,"commune in Loiret, France",Point(1.878333333 48.082222222),,,3036694,,,n99050339,,,,,146767089,,https://en.wikipedia.org/wiki/Artenay
https://pleiades.stoa.org/places/108767,http://www.wikidata.org/entity/Q21917,Audun-le-Tiche,"commune in Moselle, France",Point(5.957777777 49.473333333),,,6449899,,,nr91040187,,,,,132962556,,https://en.wikipedia.org/wiki/Audun-le-Tiche
https://pleiades.stoa.org/places/108769,http://www.wikidata.org/entity/Q760408,Augers-en-Brie,"commune in Seine-et-Marne, France",Point(3.357222222 48.680277777),,5444,6451132,,,,,,,,159767788,,https://en.wikipedia.org/wiki/Augers-en-Brie
https://pleiades.stoa.org/places/108772,http://www.wikidata.org/entity/Q4820973,Augusta Suessionum,"Roman city, precursor of Soissons, France",Point(3.32361111 49.38166667),,,,,,,,,494033UAug,,,,https://en.wikipedia.org/wiki/Augusta_Suessionum
https://pleiades.stoa.org/places/108774,http://www.wikidata.org/entity/Q940173,Augusta Viromanduorum,archaeological site,Point(3.146866666 49.877675),,240,,,,,,,498033UAVi,,,,https://en.wikipedia.org/wiki/Augusta_Viromanduorum
https://pleiades.stoa.org/places/108789,http://www.wikidata.org/entity/Q1098808,Bailleul-sur-Thérain,"commune in Oise, France",Point(2.221944444 49.385277777),,,6450114,,,,,,,,,,https://en.wikipedia.org/wiki/Bailleul-sur-Th%C3%A9rain
https://pleiades.stoa.org/places/108791,http://www.wikidata.org/entity/Q2753449,Basbellain,"village in Troisvierges, Luxembourg",Point(5.983333333 50.15),,,2960816,,,,,,,,,,https://en.wikipedia.org/wiki/Basbellain
https://pleiades.stoa.org/places/108794,http://www.wikidata.org/entity/Q1075287,Bazoches-les-Hautes,"commune in Eure-et-Loir, France",Point(1.808055555 48.157777777),,17632,6447996,,,,,,,,,,https://en.wikipedia.org/wiki/Bazoches-les-Hautes
